round,acc
0.0,0.7457
1.0,0.7574
2.0,0.7523
3.0,0.7975
4.0,0.8163
5.0,0.8154
6.0,0.82
7.0,0.8382
8.0,0.8403
9.0,0.8509
10.0,0.8392
11.0,0.8313
12.0,0.8713
13.0,0.8731
14.0,0.8693
15.0,0.8795
16.0,0.882
17.0,0.8887
18.0,0.8877
19.0,0.8966
20.0,0.8904
21.0,0.8952
22.0,0.8996
23.0,0.9047
24.0,0.9021
25.0,0.9038
26.0,0.9061
27.0,0.9039
28.0,0.9133
29.0,0.9158
30.0,0.9153
31.0,0.9149
32.0,0.9099
33.0,0.9114
34.0,0.9145
35.0,0.9195
36.0,0.9181
37.0,0.916
38.0,0.9229
39.0,0.9205
40.0,0.9205
41.0,0.9193
42.0,0.9203
43.0,0.9133
44.0,0.9212
45.0,0.9186
46.0,0.9227
47.0,0.9248
48.0,0.9215
49.0,0.9208
50.0,0.9271
