round,acc
0.0,0.7457
1.0,0.7592
2.0,0.7605
3.0,0.7829
4.0,0.8145
5.0,0.8131
6.0,0.829
7.0,0.8147
8.0,0.8448
9.0,0.8578
10.0,0.8521
11.0,0.833
12.0,0.8598
13.0,0.8665
14.0,0.8678
15.0,0.8791
16.0,0.8836
17.0,0.8827
18.0,0.8839
19.0,0.8887
20.0,0.8902
21.0,0.8923
22.0,0.8972
23.0,0.8963
24.0,0.9001
25.0,0.9045
26.0,0.8975
27.0,0.9048
28.0,0.908
29.0,0.9117
30.0,0.9087
31.0,0.915
32.0,0.9035
33.0,0.9111
34.0,0.9174
35.0,0.9152
36.0,0.9161
37.0,0.9177
38.0,0.9181
39.0,0.9213
40.0,0.9191
41.0,0.9176
42.0,0.9212
43.0,0.9128
44.0,0.9235
45.0,0.9205
46.0,0.9243
47.0,0.9219
48.0,0.9256
49.0,0.9192
50.0,0.9215
