round,acc
0.0,0.335
1.0,0.3571
2.0,0.3643
3.0,0.3747
4.0,0.384
5.0,0.4289
6.0,0.4225
7.0,0.4492
8.0,0.4642
9.0,0.4759
10.0,0.4775
11.0,0.4823
12.0,0.4943
13.0,0.5049
14.0,0.526
15.0,0.534
16.0,0.5436
17.0,0.5498
18.0,0.5465
19.0,0.5622
20.0,0.5688
21.0,0.5858
22.0,0.5943
23.0,0.5828
24.0,0.5998
25.0,0.6047
26.0,0.5991
27.0,0.6175
28.0,0.6185
29.0,0.6203
30.0,0.632
31.0,0.6373
32.0,0.6403
33.0,0.6419
34.0,0.6537
35.0,0.6513
36.0,0.657
37.0,0.6545
38.0,0.6657
39.0,0.6619
40.0,0.6743
41.0,0.6699
42.0,0.6748
43.0,0.6663
44.0,0.6821
45.0,0.6774
46.0,0.6784
47.0,0.6832
48.0,0.688
49.0,0.6853
50.0,0.6935
