round,acc
0.0,0.335
1.0,0.3398
2.0,0.3732
3.0,0.3959
4.0,0.4038
5.0,0.4303
6.0,0.419
7.0,0.4403
8.0,0.4537
9.0,0.4774
10.0,0.4751
11.0,0.4937
12.0,0.4958
13.0,0.5016
14.0,0.4961
15.0,0.519
16.0,0.5299
17.0,0.5358
18.0,0.5419
19.0,0.5451
20.0,0.5529
21.0,0.5595
22.0,0.5668
23.0,0.5686
24.0,0.5708
25.0,0.5785
26.0,0.587
27.0,0.5895
28.0,0.5977
29.0,0.6005
30.0,0.6094
31.0,0.6085
32.0,0.6029
33.0,0.6135
34.0,0.6073
35.0,0.624
36.0,0.6265
37.0,0.6212
38.0,0.6329
39.0,0.6281
40.0,0.633
41.0,0.6323
42.0,0.6367
43.0,0.6367
44.0,0.6396
45.0,0.6434
46.0,0.6482
47.0,0.6535
48.0,0.6565
49.0,0.6566
50.0,0.6578
